,bio,date,favorite_count,id,location,retweet_count,text,user,text_clean,tri_state,new_england,has_loc,loc_cat,word_count,pos_count,neg_count,pos_ratio,neg_ratio
4999,CES Boxing matchmaker and publicist / Writer for Patriots Football Weekly,2018-08-31 04:00:05,0,37602850,"Providence, R.I.",0,@sofascout1 @Yankees I think this means they know Judge isn't coming back.,MichaelParente,i think this means they know judge isn t coming back,False,False,True,other,11,0,0,0.0,0.0
4998,,2018-08-31 04:00:05,0,987347124357648384,"Pittsburgh, PA",4085,"RT @SportsCenter: Breaking: The Yankees have agreed to a trade for Giants OF Andrew McCutchen, a source told @Buster_ESPN. https://t.co/TZZ…",CaliguireLynn, breaking the yankees have agreed to a trade for giants of andrew mccutchen a source told espn,False,False,True,other,17,1,1,0.0588235294118,0.0588235294118
4997,https://t.co/9DJwqM1n69,2018-08-31 04:00:05,0,2992775630,"New Orleans, LA",1,RT @_TDaggs: The Yankees getting even more cop,dalekepp, tdaggs the yankees getting even more cop,False,False,True,other,7,2,1,0.285714285714,0.142857142857
4992,sam makes me feel special,2018-08-31 04:00:06,1,3247533025,Samantha,0,hold up yankees just got McCutchen? it’s lit!,astrowoorld,hold up yankees just got mccutchen it s lit,False,False,True,other,9,1,0,0.111111111111,0.0
4993,Creator of @Deadseriousness | Jerk |,2018-08-31 04:00:06,23,355697532,Yankees Stadium,4,Yankees are never losing another game this is the biggest move in MLB history. Yankees just won their 28th World Se… https://t.co/O1EEqclj08,TheLesterLee,yankees are never losing another game this is the biggest move in mlb history yankees just won their th world se,False,False,True,other,21,1,2,0.047619047619,0.0952380952381
4996,"🇺🇸 USAF Vet. Desert Storm. Former C-130 Dedicated Crew Chief. Red Sox, Patriots, #codeofvets #Trump2020 #WWG1WGA #MAGA #MAGAveteran 🇺🇸 🦅",2018-08-31 04:00:06,0,724616061891420162,"Harford County, MD",276,"RT @Jared_Carrabis: IMMEDIATELY AFTER THE YANKEES BLOW IT IN THE NINTH, A TWO RUN GAME TYING DING DONG FOR MOOKIE BETTS THE BEST PLAYER IN…",sam_tramontana, carrabis immediately after the yankees blow it in the ninth a two run game tying ding dong for mookie betts the best player in,False,False,True,other,24,1,3,0.0416666666667,0.125
4995,Coverage of the San Francisco Giants.,2018-08-31 04:00:06,1,488877400,,1,"Report: Giants will pull trigger, trade McCutchen to Yankees https://t.co/nek8N929qd https://t.co/rrj4x6f84r",GiantsExtra,repo giants will pull trigger trade mccutchen to yankees,False,False,False,none,9,1,0,0.111111111111,0.0
4994,new account / feds did a sweep / FSU 21 / lex🌻,2018-08-31 04:00:06,0,1003086416421810176,wh,1302,"RT @BleacherReport: Yankees acquire former NL MVP Andrew McCutchen from the Giants, per @Buster_ESPN https://t.co/PFCtTyAGu8",jaredsandler529, yankees acquire former nl mvp andrew mccutchen from the giants per espn,False,False,True,other,12,1,1,0.0833333333333,0.0833333333333
4990,Self admitted Wicked Tuna slappy and a fan of all sports!,2018-08-31 04:00:07,0,407387368,Michigan,659,RT @Buster_ESPN: Source: Yankees on the verge of a deal for Andrew McCuthchen.,Syjudski, espn source yankees on the verge of a deal for andrew mccuthchen,False,False,True,other,12,2,1,0.166666666667,0.0833333333333
4986,"I am 16 years old born December 14 2001,I attend Secondary School for Journalism . I am currently in the 10th grade. I have aspirations to be the face of ESPN.",2018-08-31 04:00:07,0,4620477495,"New York, USA",0,Yankee fan Reaction to Yankees Trading for Andrew McCutchen https://t.co/ByeJ8jKTTC via @YouTube @JoezMcfLy #PinstripePride watch !!,caillouborden12,yankee fan reaction to yankees trading for andrew mccutchen via pinstripepride watch,True,False,True,tri_state,12,0,0,0.0,0.0
